POS.WeekEndDate,Category,HA_._sold_COM,HA_._sold_EML,HA_._sold_other,HA_quantity_COM,HA_quantity_EML,HA_quantity_other,MNP_SA50.Sales.Amt,MNP_SA50.Sales.Amt_transformed,MNP_SA50.Sales.Qty,POS.Inventory,POS.Net...Sold,POS.Net.Quantity.Sold,POS.Brother.MNP.Net...Sold,POS.Brother.MNP.Net...Sold_transformed,POS.Brother.MNP.Net.Quantity.Sold,POS_SA50.Sales.Amt,POS_SA50.Sales.Qty,brother_SA50.Sales.Amt,brother_SA50.Sales.Qty,HA_promo_COM,HA_promo_EML,HA_promo_other,HA_promo_COM_weighted,HA_promo_EML_weighted,HA_promo_other_weighted,weighted_unit_price,division_name,display_cost,search_cost,shop_cost,video_cost,yt_Impressions,yt_Views,yt_Watch.time..hours.,yt_Average.view.duration,print_Engagement,print_Impressions,print_Outbound.clicks,print_Pin.clicks,print_Saves,link_Overview.page.views..total.,link_Overview.unique.visitors..total.,link_Life.page.views..total.,link_Life.unique.visitors..total.,link_Total.page.views..total.,link_Total.unique.visitors..total.,link_cost,fb_cost,ig_cost,web_Events,web_TotalSessions,web_AvgTimeonPage,web_AvgPageViews,web_locate_a_dealer,web_where_to_buy,web_add_to_cart,web_Total_prod_spec,web_Total_about_product,web_Total_image,web_Total_Video,web_Total_Downloads,web_Other,web_Total_PDP_Reviews,web_Total_PDP_Views,web_Social_new,web_Other_new,web_PaidSearch,web_Email,web_Affiliates,web_Referral,web_Social,web_OrganicSearch,web_Direct,web_Display,eml_SENT,eml_OPENED,eml_UOPEN,eml_COST,corona_cases,vaccine,Holiday,Holiday_Significance,Event,Event_Significance,Total_Holiday.Event_Count,Overall_Significance,Paid_Search,Paid_Social,trend,display_impressions,search_impressions,shop_impressions,video_impressions,link_paid_impressions,fb_impressions,ig_impressions,Paid_Search_impressions,Paid_Social_impressions
05-01-2019,B2B Printing,0,0,0,0,0,0,22755,22755,55,0,0,0,25820,25820,64,0,0,3065,9,0,0,0,0,0,0,0,BMG,246.65,1505.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,4994,10.286,3.364,22,309,30,0,0,588,201,104,0,0,16737,1,0,616,45,0,82,16737,2148,2102,0,0,0,0,0,0,0,1,1,0,0,1,1,1505.73,0,83,156809,46265,,,,,,46265,0
05-01-2019,B2C printing,0,0,0,0,0,0,111387,111387,937,0,0,0,125779,125779,1117,0,0,14392,180,0,0,0,0,0,0,0,BMG,1499.04,13566.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.76,0,1779,23327,7.78,2.43,2,1627,150,0,0,1909,684,401,11,0,56212,31,1,3218,301,0,479,56212,9474,9821,2,0,0,0,0,0,0,1,1,0,0,1,1,13566.86,109.76,72,947782,139412,,,,16526,,139412,16526
05-01-2019,Crafting,0,0,0,0,0,0,148599,148599,4555,0,0,0,150091,150091,4655,0,0,1492,100,0,0,0,0,0,0,0,HAD,0,1520.85,0,0,96783,15304,751.6974,176.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,5805,7.09,2.086,260,148,56,0,0,107,6,0,60,0,12089,213,60,690,60,0,73,12089,949,3760,0,0,0,0,0,0,0,1,1,0,0,1,1,1520.85,0,36,0,43152,,,,,,43152,0
05-01-2019,ES/Labeling,0,0,0,0,0,0,27559,27559,321,0,0,0,28284,28284,348,0,0,725,27,0,0,0,0,0,0,0,BMG,0,3495.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.44,0,446,6622,6.332,2.296,0,401,45,0,0,493,187,22,3,0,15293,24,3,765,11,0,75,15293,2131,3613,0,0,0,0,0,0,0,1,1,0,0,1,1,3495.41,56.44,57,0,46447,,,,3698,,46447,3698
05-01-2019,Sewing,0,0,0,0,0,0,1684307,1684307,8346,0,0,0,1692155,1692155,8510,0,0,7848,164,0,0,0,0,0,0,0,HAD,0,3944,0,0,140993,21859,615.8046,100.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2795,33128,6.26,1.978,1452,1127,216,0,0,1543,383,6,88,0,65419,197,70,1794,373,0,541,65419,10140,20013,0,178231,73334,56842,133.67325,0,0,1,1,0,0,1,1,3944,0,20,0,40400,,,,,,40400,0
05-01-2019,Supplies,0,0,0,0,0,0,249715,249715,8644,0,0,0,277874,277874,9339,0,0,28159,695,0,0,0,0,0,0,0,BMG,0,9174.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1268,21376,6.728,1.818,8,1252,8,0,0,578,71,17,1,0,38812,1,1,1398,10,0,212,38812,2284,17470,0,26683,22972,18108,20.01225,0,0,1,1,0,0,1,1,9174.12,0,66,0,102732,,,,,,102732,0
12-01-2019,B2B Printing,476492,96001,165194,1722,201,675,65701,63473.76278,147,30197,1870898,5718,1946259,1944031.763,5892,2017222,5115,9660,27,45.51724138,29.09090909,62.5,51.09554777,30.34825871,68.10551559,327.1907922,BMG,881.74,8983.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594,8020,9.078571429,3.351428571,42,498,54,0,0,1049,260,160,3,0,26688,24,0,1003,44,0,122,26688,3807,3020,0,381976,216642,172153,286.482,0,0,0,0,0,0,0,0,8983.4,0,58,495278,159459,,,,,,159459,0
12-01-2019,B2C printing,2389659,0,3305953,15757,0,21030,107050,105730.6356,1900,302284,7241462,46401,7369287,7367967.636,48466,4973960,32553,20775,165,30.78212291,0,42.87671233,36.88577339,0,46.07807025,156.0585574,BMG,2115.06,21603.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374.81,0,2610,35544,7.481428571,2.474285714,7,2410,193,0,0,3081,905,653,39,0,86616,120,10,5012,403,0,739,86616,15779,13478,3,0,0,0,0,0,0,0,0,0,0,0,0,21603.09,374.81,69,1433434,219737,,,,63291,,219737,63291
12-01-2019,Crafting,0,0,0,0,0,0,32309,34255.2831,2303,17792,58002,2181,90886,92832.2831,4507,14505,1702,575,23,0,0,0,0,0,0,26.59176525,HAD,0,1885.1,0,0,132660,18823,876.3749,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,7470,6.9,1.955714286,263,177,57,0,0,135,11,1,32,0,14550,326,32,812,41,0,96,14550,1216,4947,0,0,0,0,0,0,0,0,0,0,0,0,0,1885.1,0,32,0,64996,,,,,,64996,0
12-01-2019,ES/Labeling,171782,0,397649,3281,0,12046,25070,28193.44685,308,172896,1308003,37991,1336392,1339515.447,38336,1081130,31929,3319,37,15.43478261,0,18.30769231,20.05175983,0,17.77024426,34.42705878,BMG,0,5208.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.7782593,192.7217408,627,9839,6.765714286,2.361428571,2,545,80,0,0,816,243,27,1,0,23056,18,1,1088,9,0,110,23056,3459,5154,0,0,0,0,0,0,0,0,0,0,0,0,0,5208.79,718.5000001,65,0,71069,,,,87923,61999,71069,149922
